size,width,length,room,area,ward,toilet,floor,house type,street,price
28.0,3.0,10.0,2.0,111,9325.0,2.0,2.0,3.0,967,4350000000
48.0,4.0,12.5,5.0,110,9275.0,5.0,4.0,3.0,1056,6120000000
53.1,4.0,15.0,4.0,107,9233.0,4.0,3.0,1.0,1605,4200000000
51.0,4.0,12.5,2.0,110,9269.0,2.0,2.0,1.0,1056,4350000000
60.0,4.0,15.0,3.0,115,9512.0,3.0,1.0,1.0,1686,1490000000
75.0,4.25,16.9,7.0,110,9268.0,7.0,2.0,3.0,227,5050000000
60.0,4.0,15.0,5.0,107,9228.0,5.0,4.0,1.0,853,4800000000
33.0,3.0,11.0,2.0,118,9525.0,2.0,2.0,3.0,501,1890000000
44.0,4.151999999999999,10.8,2.0,114,9243.0,1.0,1.0,3.0,1098,3400000000
65.0,4.0,16.25,3.0,104,9262.0,3.0,2.0,3.0,1238,6000000000
20.0,4.0,5.0,1.0,107,9229.0,1.0,2.0,3.0,1494,1800000000
50.0,4.0,12.5,5.0,110,9275.0,5.0,4.0,4.0,1052,5980000000
63.0,4.5,14.0,4.0,110,9277.0,5.0,3.0,3.0,1235,6100000000
90.0,5.0,18.0,4.0,108,9462.0,5.0,4.0,1.0,1645,7000000000
99.0,6.6,15.0,4.0,111,9327.0,4.0,4.0,1.0,550,13500000000
72.0,4.0,19.0,3.0,118,9529.0,2.0,2.0,3.0,810,3350000000
52.0,4.0,13.0,3.0,108,9460.0,4.0,3.0,3.0,215,5900000000
71.5,5.5,13.0,3.0,110,9270.0,2.0,1.0,2.0,1081,6300000000
49.0,4.0,12.3,3.0,110,9273.0,2.0,3.0,3.0,873,4700000000
48.0,4.0,12.0,3.0,113,9319.0,2.0,2.0,3.0,1295,4500000000
14.0,3.8,4.0,1.0,99,9400.0,1.0,2.0,3.0,1634,1200000000
44.0,4.0,11.0,2.0,102,9467.0,2.0,2.0,3.0,1136,3750000000
38.0,3.8,10.0,1.0,101,9430.0,1.0,2.0,3.0,735,1520000000
120.0,5.5,22.0,5.0,117,9503.0,4.0,1.0,3.0,909,3000000000
54.0,4.0,13.0,2.0,107,9236.0,2.0,2.0,3.0,946,985000000
62.0,4.0,15.0,7.0,108,9457.0,3.0,3.0,3.0,36,5900000000
19.0,3.9,5.3100000000000005,2.0,111,9328.0,2.0,2.0,3.0,438,4600000000
60.0,4.0,16.0,4.0,107,9227.0,4.0,3.0,1.0,1340,4450000000
50.0,4.0,12.0,1.0,117,9502.0,1.0,1.0,3.0,1434,1350000000
50.0,4.35,11.5,5.0,104,9259.0,4.0,2.0,3.0,641,4150000000
49.0,4.4,11.4,4.0,111,9336.0,3.0,4.0,3.0,503,6300000000
49.0,3.8,15.0,2.0,107,9230.0,1.0,1.0,3.0,1254,4100000000
35.0,5.0,7.0,2.0,101,9432.0,2.0,1.0,3.0,547,2490000000
84.0,5.1,17.5,4.0,110,9271.0,3.0,2.0,3.0,381,6500000000
40.0,4.0,10.0,2.0,115,9511.0,2.0,1.0,3.0,629,950000000
61.0,4.0,15.25,5.0,102,9475.0,5.0,3.0,3.0,1044,2990000000
30.0,4.0,7.5,3.0,110,9270.0,3.0,3.0,3.0,1081,2850000000
88.0,5.5,16.0,4.0,97,9345.0,4.0,1.0,3.0,1477,2950000000
51.0,6.0,8.5,2.0,117,9500.0,1.0,1.0,3.0,1772,1600000000
115.0,5.0,23.0,3.0,110,9271.0,4.0,3.0,3.0,381,11000000000
58.0,4.2,13.772,3.0,104,9260.0,2.0,3.0,1.0,91,4800000000
28.0,3.2,9.0,2.0,113,9316.0,2.0,2.0,3.0,1599,2850000000
84.8,4.3,20.7,2.0,98,9351.0,3.0,1.0,3.0,1517,9000000000
107.0,6.0,18.0,4.0,102,9475.0,4.0,3.0,3.0,284,7800000000
35.0,7.0,5.0,2.0,107,9230.0,2.0,1.0,3.0,1365,1800000000
48.0,3.4,13.6,4.0,103,9447.0,3.0,2.0,3.0,1050,4700000000
70.0,4.0,18.0,3.0,117,9502.0,2.0,1.0,1.0,1382,4200000000
44.0,4.8,9.0,5.0,109,9289.0,6.0,4.0,3.0,676,6700000000
60.0,4.0,15.0,4.0,112,9313.0,5.0,5.0,3.0,1006,7300000000
42.0,6.0,7.0,5.0,99,9398.0,4.0,4.0,3.0,1754,2500000000
45.0,4.5,9.0,3.0,110,9277.0,4.0,4.0,3.0,937,6900000000
80.0,6.0,14.0,3.0,104,9255.0,4.0,3.0,3.0,1023,6000000000
55.0,4.1,13.0,3.0,107,9227.0,2.0,1.0,3.0,1344,3450000000
68.0,4.0,17.0,4.0,110,9267.0,3.0,4.0,3.0,734,5600000000
80.0,5.0,16.0,4.0,104,9260.0,3.0,2.0,4.0,1457,9500000000
80.0,7.0,12.0,2.0,99,9401.0,2.0,1.0,3.0,1634,4000000000
137.0,6.0,23.0,2.0,116,9494.0,2.0,2.0,1.0,202,4300000000
40.0,4.0,10.0,3.0,103,9441.0,3.0,2.0,3.0,375,5850000000
60.0,3.84,15.8,3.0,107,9228.0,3.0,3.0,4.0,1328,3590000000
46.1,4.6,10.0,2.0,102,9472.0,2.0,2.0,1.0,501,5600000000
82.1,6.48,14.0,4.0,107,9230.0,5.0,4.0,3.0,1370,6150000000
105.0,5.0,21.0,4.0,114,9249.0,4.0,4.0,1.0,1171,10800000000
57.0,4.7,12.5,1.0,110,9267.0,1.0,1.0,3.0,734,5480000000
68.0,4.0,17.0,5.0,108,9458.0,4.0,3.0,3.0,1222,5000000000
79.0,4.5,18.0,6.0,110,9265.0,6.0,4.0,1.0,853,4800000000
50.0,5.0,10.0,6.0,111,9329.0,6.0,5.0,3.0,967,6600000000
110.0,5.0,22.0,5.0,110,9275.0,3.0,2.0,3.0,725,8300000000
42.0,7.0,7.0,2.0,101,9430.0,2.0,2.0,3.0,777,3390000000
46.0,3.65,15.0,5.0,109,9284.0,3.0,4.0,3.0,1724,5800000000
32.0,3.8,8.5,2.0,102,9471.0,2.0,2.0,3.0,1519,3000000000
52.0,4.0,12.0,2.0,108,9459.0,2.0,2.0,3.0,541,4500000000
84.0,6.0,14.0,3.0,110,9275.0,4.0,4.0,3.0,1056,7200000000
40.0,4.0,10.0,3.0,110,9271.0,4.0,5.0,3.0,873,5900000000
54.0,4.0,13.5,4.0,118,9525.0,5.0,3.0,4.0,1762,6400000000
60.0,4.0,15.0,4.0,113,9321.0,4.0,4.0,3.0,1531,8500000000
70.0,5.0,14.0,2.0,103,9455.0,2.0,2.0,1.0,1527,1830000000
62.0,5.0,12.5,4.0,102,9473.0,4.0,4.0,3.0,501,7600000000
68.0,4.0,17.0,4.0,112,9299.0,4.0,3.0,3.0,563,12700000000
100.0,4.0,25.0,3.0,108,9457.0,2.0,2.0,1.0,404,13000000000
75.0,4.0,18.75,3.0,102,9473.0,3.0,2.0,3.0,501,6300000000
96.0,4.0,24.0,4.0,103,9455.0,4.0,4.0,1.0,1050,6700000000
106.0,4.0,26.0,4.0,115,9520.0,2.0,1.0,1.0,1102,1850000000
60.0,4.2,13.0,4.0,109,9283.0,4.0,3.0,3.0,283,5650000000
105.0,7.0,15.0,3.0,115,9518.0,3.0,2.0,4.0,1527,8900000000
126.0,5.0,25.0,2.0,116,9492.0,2.0,1.0,1.0,1719,2200000000
20.0,3.872,5.6400000000000015,2.0,110,9274.0,2.0,2.0,3.0,800,2950000000
60.0,4.2,14.4,2.0,102,9466.0,2.0,1.0,1.0,501,2150000000
64.0,4.0,16.0,5.0,113,9316.0,5.0,3.0,1.0,698,6350000000
78.4,4.5,16.7,3.0,104,9256.0,2.0,1.0,3.0,578,6200000000
60.0,4.0,15.0,5.0,108,9458.0,5.0,2.0,3.0,619,4250000000
50.0,3.8,13.2,4.0,112,9313.0,3.0,4.0,3.0,1006,5650000000
44.0,4.0,11.0,3.0,108,9460.0,2.0,1.0,1.0,541,1920000000
56.0,4.6,12.0,4.0,107,9227.0,4.0,3.0,3.0,1350,4450000000
97.6,4.3,23.5,4.0,107,9235.0,3.0,3.0,1.0,1736,6800000000
38.8,3.4,12.0,2.0,106,9383.0,2.0,1.0,3.0,1081,3100000000
72.0,4.0,18.0,4.0,107,9229.0,3.0,2.0,3.0,973,4100000000
75.0,5.0,15.0,4.0,104,9262.0,3.0,2.0,2.0,625,11679000000
50.0,4.2,12.1,4.0,104,9258.0,3.0,3.0,1.0,1235,4590000000
48.0,4.0,12.0,4.0,103,9454.0,3.0,3.0,3.0,143,5450000000
24.96,3.2,7.8,2.0,110,9270.0,1.0,1.0,3.0,1081,2300000000
52.0,4.45,12.0,3.0,97,9348.0,2.0,4.0,3.0,1139,5500000000
60.0,4.0,15.0,5.0,105,9367.0,4.0,4.0,3.0,1298,11500000000
51.0,4.0,14.0,4.0,107,9227.0,5.0,3.0,4.0,1629,4000000000
68.0,5.0,13.6,4.0,102,9473.0,4.0,4.0,1.0,501,7600000000
80.0,4.0,20.0,4.0,113,9324.0,4.0,2.0,4.0,1000,9000000000
26.0,3.2,8.1,2.0,110,9275.0,2.0,2.0,3.0,725,3550000000
87.5796,3.54,24.74,2.0,103,9453.0,1.0,2.0,3.0,769,2900000000
56.0,5.0,11.0,3.0,114,9239.0,2.0,1.0,3.0,976,1800000000
80.0,4.0,20.0,5.0,102,9472.0,6.0,4.0,3.0,1031,8200000000
76.0,5.5,14.0,4.0,112,9308.0,5.0,5.0,1.0,1791,9500000000
65.0,4.0,16.0,4.0,102,9472.0,4.0,3.0,3.0,1031,6400000000
18.0,3.0,6.0,1.0,102,9472.0,1.0,2.0,3.0,947,1350000000
38.0,4.1,9.0,2.0,118,9528.0,2.0,1.0,1.0,711,1100000000
52.8,4.0,12.88,4.0,104,9258.0,4.0,2.0,3.0,1235,5200000000
54.0,3.86,14.72,5.0,110,9267.0,5.0,5.0,3.0,734,5100000000
50.0,4.3660000000000005,11.74,3.0,104,9259.0,4.0,2.0,3.0,641,4500000000
48.0,4.0,12.0,2.0,115,9511.0,2.0,1.0,3.0,636,1680000000
40.0,4.0,9.0,3.0,110,9267.0,2.0,2.0,3.0,734,3850000000
65.0,4.15,15.5,4.0,114,9243.0,4.0,3.0,3.0,1097,6650000000
54.0,4.0,16.0,8.0,110,9269.0,7.0,4.0,3.0,1056,5600000000
58.0,4.0,14.5,4.0,113,9321.0,4.0,4.0,3.0,1531,8000000000
24.8,3.6,9.5,2.0,108,9457.0,1.0,2.0,3.0,1204,3100000000
54.0,5.0,11.0,3.0,103,9450.0,2.0,1.0,3.0,226,1085000000
56.0,4.0,14.0,2.0,103,9452.0,1.0,1.0,3.0,226,1950000000
100.0,5.0,20.0,3.0,114,9241.0,3.0,2.0,3.0,1136,6800000000
39.5,3.88,10.4,3.0,103,9441.0,2.0,1.0,3.0,1729,2800000000
50.0,4.0200000000000005,12.5,3.0,113,9320.0,3.0,3.0,3.0,1312,4500000000
13.0,3.0,5.0,1.0,103,9449.0,1.0,1.0,3.0,1050,570000000
60.0,4.0,15.0,1.0,108,9459.0,1.0,1.0,3.0,716,3800000000
61.9,4.0,15.04,4.0,104,9255.0,4.0,2.0,3.0,1222,6300000000
56.0,4.6,12.2,2.0,103,9452.0,2.0,1.0,1.0,1050,1630000000
40.0,4.0,10.0,2.0,114,9240.0,2.0,1.0,3.0,610,1400000000
41.0,4.1,10.0,2.0,104,9256.0,2.0,1.0,3.0,1822,1550000000
76.0,5.0,15.2,3.0,108,9458.0,3.0,1.0,3.0,621,4600000000
40.0,3.92,10.5,2.0,107,9232.0,2.0,1.0,3.0,148,1400000000
25.0,3.9,6.5,1.0,109,9298.0,1.0,1.0,3.0,206,1350000000
56.0,4.0,14.0,2.0,107,9236.0,2.0,1.0,3.0,357,4000000000
111.0,5.0,22.0,6.0,105,9365.0,4.0,4.0,3.0,1625,19000000000
87.0,4.0,21.2,4.0,107,9231.0,4.0,3.0,1.0,236,7700000000
65.0,4.0,16.058,4.0,104,9262.0,4.0,3.0,1.0,823,6000000000
100.0,4.0,25.0,7.0,111,9327.0,7.0,4.0,3.0,558,12500000000
49.0,5.0,10.0,3.0,104,9254.0,3.0,1.0,3.0,1638,1325000000
71.0,4.1,17.25,3.0,108,9464.0,4.0,2.0,3.0,587,6890000000
28.0,3.4,8.3,2.0,103,9443.0,2.0,2.0,3.0,1729,3500000000
76.1,4.0,19.0,3.0,104,9254.0,3.0,2.0,3.0,1185,6200000000
43.5,4.17,10.43,4.0,101,9438.0,3.0,4.0,1.0,1057,5000000000
84.0,6.0,14.0,5.0,113,9323.0,5.0,5.0,3.0,1000,6500000000
66.0,4.0,17.0,5.0,102,9473.0,5.0,3.0,3.0,1595,10800000000
101.4,3.9,26.0,3.0,108,9465.0,2.0,3.0,1.0,580,11200000000
72.0,4.0,18.0,5.0,108,9458.0,5.0,3.0,3.0,1222,4400000000
40.0,4.5,9.0,2.0,109,9284.0,2.0,2.0,3.0,1747,8200000000
45.0,4.364,10.668,2.0,97,9343.0,2.0,1.0,3.0,823,1760000000
41.6,4.0,10.4,2.0,107,9228.0,2.0,1.0,3.0,1327,3180000000
119.8,5.0,24.0,6.0,113,9317.0,6.0,2.0,1.0,730,12400000000
60.0,5.0,12.0,2.0,114,9247.0,2.0,3.0,1.0,612,2300000000
51.3,4.5,12.0,2.0,107,9231.0,2.0,2.0,3.0,1573,3650000000
75.0,4.0,19.0,4.0,113,9319.0,4.0,3.0,3.0,1033,7300000000
48.0,4.0,12.0,2.0,101,9436.0,2.0,1.0,3.0,1057,1910000000
53.0,4.5,11.3,4.0,102,9472.0,5.0,4.0,3.0,688,7600000000
76.0,4.1,19.0,6.0,103,9453.0,5.0,5.0,3.0,761,5300000000
55.0,4.14,11.4,2.0,103,9447.0,2.0,1.0,1.0,1040,1600000000
72.0,5.0,13.0,2.0,103,9450.0,2.0,1.0,1.0,219,1680000000
42.0,4.0,10.5,1.0,103,9447.0,1.0,1.0,3.0,1050,1520000000
